dj	dj || 0
oppress	reduce,subdue || -0.550671035883
oppugn	question || 0
opt	choose,prefer || 0
optimise	optimize || 0.329679953964
optimize	act,behave,do,hone,modify,optimise,perfect || 0.329679953964
ordain	doom,fate,order,pass,will || 0
order	arrange,bespeak,bring down,call,call for,compel,consecrate,decide,determine,dictate,downgrade,enjoin,enthrone,evaluate,govern,grade,impose,inflict,invest,judge,make up one's mind,ordain,ordinate,organise,organize,pass judgment,place,prescribe,put,quest,range,rank,rate,regularise,regularize,regulate,request,say,set up,subordinate,tell,vest,visit,warn,zone || 0.698805788088
ordinate	coordinate,order || 0.550671035883
organise	arrange,coordinate,form,mount,order,put,regroup,sandwich || 0.329679953964
organize	arrange,coordinate,form,mount,order,put,regroup,sandwich || 0.329679953964
orient	point,stem || 0
originate	arise,become,begin,come,create,develop,emerge,follow,grow,head,initiate,make,rise,set,spring up,start,swell,uprise || 0.864664716763
originate in	stem || 0.0
ornament	beset,flag,flight,hang,illustrate,stick,trim || 0.329679953964
oscillate	hesitate,hover,sway,swing,vacillate,vibrate,waffle,waver || 0
ostracise	ban,banish,shun || 0.329679953964
ostracize	ban,banish,shun || 0.329679953964
out	break,bring reveal,come out of the closet,come unwrap,disclose,discover,divulge,expose,give away,impart,let come out,let on,let unwrap || -0.329679953964
out call out	cry || 0.0
out outstrip	distance || 0.0
out wear down	wear || 0.0
outbalance	outweigh || 0
outbid	bid,call,offer,tender || 0
outdistance	outstrip || 0
outdo	beat,best,better,break,exceed,outperform,outstrip,outweigh,scoop,surpass^ || 0.550671035883
outexcel	rank || 0.0
outfit	instrument,invest,set,spur,stock,wire || 0.329679953964
outflank	best,scoop || 0.550671035883
outfox	beat || -0.698805788088
outgo	beat,better,break,exceed,outperform,outstrip,outweigh,surpass^ || 0
outlast	survive || 0
outlaw	ban || -0.329679953964
outline	adumbrate,compose,delineate,depict,describe,draft,draw,indite,limn,pen,sketch,write || 0.329679953964
outlive	survive || 0
outmatch	beat,better,break,exceed,outperform,outstrip,outweigh,surpass^ || 0
outperform	beat,beat out,better,break,crush,exceed,outdo,outgo,outmatch,outstrip,outweigh,shell,surmount,surpass^,trounce,vanquish || 0
output	create,make,produce || 0
outrage	assault,shock || -0.550671035883
outride	stay || 0
outsmart	beat || -0.698805788088
outstrip	beat,beat out,better,break,crush,distance,exceed,leave behind,outdistance,outdo,outgo,outmatch,outperform,outweigh,shell,surmount,surpass^,trounce,vanquish || 0
outwear	beat || 0.0
outweigh	dominate,exceed,outbalance,outdo,outgo,outmatch,outperform,outstrip,overbalance,predominate,preponderate,prevail,reign,rule,surmount,surpass^ || 0
outwit	beat || -0.698805788088
over counterbalance	compensate || 0.0
overbalance	outweigh || 0.329679953964
overcharge	rob,soak,squeeze || 0
overcloud	eclipse || 0.329679953964
overcome	arouse,beat,defeat,destroy,down,elicit,enkindle,evoke,fire,get over,get the best,get the better of,have the best,kindle,lurch,master,overpower,overtake,overwhelm,provoke,raise,rout,subdue,surmount,survive,sweep over,whelm || 0.518798830058
overcompensate	cover || -0.172932943353
overcover	spread || 0.0
overdo	do,exaggerate,make || -0.329679953964
overdraw	amplify,blow,gas,magnify,pad,tout || -0.329679953964
overeat	stuff || 0
overestimate	overvalue || -0.329679953964
overextend	extend,overstrain,strain || 0
overgorge	stuff || 0
overhaul	clear,overtake,pass,top || 0
overhear	catch || 0
overindulge	stuff || 0
overlap	share || -0.329679953964
overlay	cover || 0
overleap	drop,forget,jump,miss,neglect,overlook,skip || 0
overlook	command,dominate,drop,forget,jump,leave out,lie,look across,look out on,look out over,lose,miss,neglect,omit,overleap,overshadow*,overtop,pretermit,skip,survey || 0.0
overpower	overcome,overtake || 0
overreach	beat || -0.798103482005
override	reverse || -0.329679953964
overrule	reverse || 0
oversee	build,manage || 0
overshadow*	becloud,befog,cloud,command,dominate,dwarf,eclipse,excel,fog,haze over,mist,obnubilate,obscure,overlook,overtop,shadow,stand out,surpass^ || 0.0
overstate	amplify,blow,gas,magnify,pad,tout || -0.329679953964
overstep	exceed,pass,top || 0.329679953964
overstrain	overextend || 0
overstretch	pull || 0.329679953964
oversupply	flood || -0.329679953964
overtake	advance,arouse,catch,catch up with,clear,elicit,enkindle,evoke,fire,go on,kindle,march on,move on,overcome,overhaul,overpower,overwhelm,pass,pass on,progress,provoke,raise,sweep over,top,whelm || 0.550671035883
overthrow	reverse,revolutionize || -0.329679953964
overtop	dominate,overlook,overshadow* || -0.329679953964
overturn	lift,reverse,revolutionize || -0.550671035883
overvalue	overestimate,value || -0.329679953964
overwhelm	overcome,overtake || 0
owe	be,build on,build upon,mortgage,repose on,rest on,run up || 0
own	have,possess || -0.329679953964
pace	step || -0.232935262696
pack	appoint,arrange,back hike,be,bundle,care for,carry,case,compact,compress,constitute,crowd,crowd together,encase,feature,fill,fill up,have,incase,jam,lade,laden,load,load down,load up,make full,mob,name,nominate,pack together,pile,seal,seal off,set up,take,tamp,tamp down,throng,transport,treat,wad || -0.172932943353
pack together	pack || 0.0
package	box,case,encase,incase || 0
pad	aggrandise,aggrandize,amplify,blow up,bolster,dramatise,dramatize,embellish,embroider,exaggerate,fill,fill out,fill up,footslog,hyerbolise,hyperbolize,lard,magnify,make full,overdraw,overstate,plod,slog,stuff,tramp,trudge,walk || 0.329679953964
paddle	square || -0.550671035883
page	foliate,number,paginate,summon,work || 0
paginate	page || 0
pain	afflict,ail,anguish,discomfit,discompose,disconcert,hurt,trouble,try,untune,upset || -0.808136721897
paint	charge,coat,cover,create,ground,interpret,represent,surface || 0
paint a picture	imply,suggest || 0.0
pair	arrange,bang,bring together,conjoin,copulate,couple,cover,geminate,join,know,love,match,mate,mount,occur,pair off,partner off,ride,ruin*,serve,service,set up,tread,twin,unify,unite^ || 0.232935262696
pair off	couple,pair || 0.0
palaver	bully,swagger || 0.0
palisade	surround || 0
pall	dash,die,dull,scare,withdraw || 0.30309401557
palliate	ease,relieve || -0.329679953964
palm	handle,manipulate || 0
palpate	feel || 0
palpitate	flutter || -0.399051741003
pan	trash || 0.0
paper	cover,wall cover || 0
par	hit,rack up,score,tally || 0
parachute	jump || 0
parade	exhibit,march || -0.329679953964
paraphrase	translate || -0.329679953964
parcel out	allot,deal,give,lot,portion || 0.0
pare	cut,decrease,lessen,minify,pare down,peel,skin,strip,trim,whittle || -0.698805788088
pare down	pare || 0.0
parent	foster,raise || 0.698805788088
parry	block,dodge,hedge || -0.329679953964
part	break,break up,bust,change,chip,cut,de start,disjoint,displace,disunite,divide,divorce,go away,go forth,joint,leave,move,reduce,separate,set forth,set off,set out,snap,split,split up,start,start out,take off || 0
partake	receive,share,touch || 0
partake in	share || 0.0
participate	enter,experience,jump,see,undergo || 0.329679953964
partition	pound,zone || 0
partition off	pound || 0.0
partner	act,furnish,move,provide,render,supply || 0
partner off	couple,pair || 0.0
party	celebrate,fete || 0
pass	acknowledge,advance,allow,anticipate,approve,arise,authorise,be,blow over,break,bring home the bacon,buy the farm,carry,cash in one's chips,chance,change,change hands,change owners,change state,choke,clear,come,come about,come through,commit,communicate,conk,convey,countenance,cover,crash,croak,cut,cycle,deal,decease,declare,deliver,deliver the goods,develop,devolve,die,disappear,discharge,do,draw,drop dead,egest,eject,elapse,eliminate,enact,evanesce,exceed,excel,excrete,exit,expel,expire,extend,fade,fall,fall out,fell,fleet,free,give,give-up the ghost,glide by,go,go across,go along,go away,go by,go on,go past,go through,guide,hand,hap,happen,holiday,intervene,judge,kick the bucket,lapse,lead,leave,legislate,let,light,locomote,make,make authorize,make it,march on,move,move on,negotiate,occur,operate,ordain,overhaul,overstep,overtake,pass along,pass away,pass by,pass judgment,pass off,pass on,perish,permit,pop off,proceed,progress,put across,reach,release,relinquish,repeat,request,return,reveal,run,serve,show,sink,slide by,slip,slip away,slip by,snuff it,spend,stand out,starve,stifle,strike,succeed,succumb,suffocate,sur go past,surevaluate,surpass^,take place,throw,top,track,transcend,transfer,transmit,travel,travel by,trust,turn,turn over,validate,vanish,win,work,yield || 0.329679953964
pass across	cut || 0.0
pass along	acknowledge,carry,deliver,pass,request,return,reveal,show || 0.0
pass around	carry,circulate,run,spread || 0.0
pass away	die,fall,go,pass,starve,stifle,succumb,suffocate,yield || 0.0
pass by	pass,surpass^ || 0.0
pass judgment	accept,anticipate,approve,believe,calculate,choose,consider,declare,estimate,expect,fail,figure,forecast,hold,measure,order,pass,place,prove,range,rank,rate,review,stand,test,think,try,value || 0.0
pass off	anticipate,arise,break,chance,come,develop,fade,fall,give,go,happen,intervene,occur,operate,pass,proceed,repeat,strike || 0.0
pass on	acknowledge,advance,carry,circulate,commit,deal,deliver,edge,forge,free,give,hand,inch,leave,overtake,pass,progress,reach,release,relinquish,request,return,reveal,show,slip,spread,string,submit,trust || 0.0
pass out	deal,share,swoon || 0.0
pass over	course,cover,cross,cut,drive,jump,skip,sweep,take,track,wipe || 0.0
pass through	cut || 0.0
pass up	bounce,decline* || 0.0
pass water	make || 0.0
paste	attach,beat,cover,glue || 0
pasture	crop,drift,range || 0
patch up	settle || 0.0
patronage	support || 0
patronise	shop,sponsor,support || 0
patronize	shop,sponsor,support || 0
pattern	agree,check,copy,correspond,fit,gibe,imitate,jibe,match,model,scale,simulate,tally || 0.550671035883
pause	break,break up,cut off,delay,disrupt,hesitate,intermit,interrupt,rest || 0
pave	coat,surface || 0
pawn	soak || 0
pay	abide,ante up,be,bear,bribe,bring in,brook,buy,cerebrate,charge,clear,cogitate,communicate,compensate,contribute,devote,digest,drop,earn,endure,extend,finance,foot,gain,give,intercommunicate,liquidate,make,make up,net,offer,pay off,pay up,pick,prefer,pull in,put up,realise,realize,remit,repay,requite,return,settle,spend,stand,stick out,stomach,suffer,support,take in,think,tolerate,yield || 0.864664716763
pay back	fix,get,repay || 0.0
pay heed	advert,hang || 0.0
pay off	compensate,fix,get,lift,liquidate,pay || 0.0
pay up	liquidate,pay || 0.0
peach	talk || 0
peak	arrive at,attain,gain,hit,make,reach || 0
peal	dong,ring || 0
peck	pick || 0.232935262696
peculate	fiddle || 0.329679953964
pedal	cycle || 0
pee	make || 0
pee-pee	make || 0
peek	glance,glint,look || 0.329679953964
peel	pare || -0.550671035883
peer	look || 0
peg	attach,bring home the bacon,come through,deliver the goods,nail,nail down,peg down,pierce,stabilise,stabilize,succeed,thrust,win || -0.518798830058
peg down	narrow,peg || 0.0
pelt	pour,sheet || 0
pelt along	buck,charge,dash,race,rush,shoot,speed || 0.0
pen	adopt,cite,compose,draw,outline,profile,verse,write || 0.329679953964
penalise	correct,discipline,penalize*,punish || -0.232935262696
penalize*	correct,discipline,penalise,punish || 0.0
pencil	draw || 0
penetrate	bottom,break,click,cut,force,pierce,plunge,probe,riddle,strike,thrust || -0.232935262696
people	dwell,fill,fill up,inhabit,live,make full,populate || 0
pep up	inspire^ || 0.0
perceive	catch,comprehend,dream,feel,find,hear,hurt,listen,realise,realize,receive,see,sense,suffer,taste,touch,understand || 0.550671035883
perch	rest || 0
percolate	perk || 0.698805788088
perfect	optimize,round || 0.565160282077
perforate	break,cut,force,pierce,plunge,probe,punch,riddle,strike,thrust || 0
perform	accomplish,act,action,appear,carry,carry out,carry through,conduct,cut,debut,do,execute,fulfil,fulfill,give,lead,make,move,play,practice,re-create,star,turn,underperform || -0.329679953964
peril	expose,threaten* || -0.698805788088
perish	die,fall,go,pass,starve,stifle,succumb,suffocate,yield || -0.232935262696
perk	convalesce,gain vigor,percolate,perk up,pick up,recover^,recuperate || 0.698805788088
perk up	brace,perk,renovate,revive,stimulate || 0.0
permeate	riddle || 0
permit	allow,authorise,bear,clear,digest,endure,favor,give,include,let,pass,stand,suffer,support,trust || 0
permute	represent || 0
perpetrate	commit,make,pull || -0.329679953964
perplex	beat,complicate*,get,pose,riddle,stick || -0.550671035883
persevere	follow,persist || 0.329679953964
persist	bear on,carry on,continue,die hard,endure,follow,hang in,hang on,hold on,linger,persevere,preserve,prevail,remain,run,stay,stick,uphold || 0.0
persist in	continue || 0.0
personate	pose || -0.329679953964
personify	be,body,represent || -0.329679953964
persuade	carry,convert,drag,influence,make,prevail,sell,tempt || 0.0
pertain	affect,center,concern,hold,interest,involve,refer,regard,relate,touch || 0
perturb	trouble,worry || 0.0
pervade	riddle || 0
pervert	abuse,debase,infect || 0.399051741003
pester	beleaguer || 0
philander	flirt || 0.550671035883
phone	call,ring || 0.329679953964
photograph	retake,shoot,snap || 0.550671035883
phrase	ask,put,word || 0
pick	beak,blame*,break up,call forth,choose,clean,collect,criticise*,criticize,cull,draw,eat,evoke,find fault,foot,force,garner,gather,kick up,knock,nibble,pay,peck,pick apart,pick out,piece,pierce,pluck,plunk,provoke,pull,pull together,remove,rob,select,strike,take,take away,withdraw || 0.392673744445
pick apart	assault,blame*,criticise*,criticize,knock,pick,round || 0.0
pick at	deprecate,depreciate,minimize,trash || 0.0
pick out	adopt,choose,determine,draw,fix,follow,go,limit,pick,propose,recognize,set,side,sift,sort,take,vote || 0.0
pick up	arrest,catch,collect,find,hear,nab,perk,receive,see || 0.0
picture	conceive of,depict,envisage,envision,fancy,figure,ideate,illustrate,image,imagine,interpret,project,render,represent,see,show,visualise,visualize || 0
piddle	make || 0
piece	compound,pick,tack || 0.172932943353
pierce	affect,bite,break up,impress,move,peg,penetrate,perforate,pick,punch,riddle,sound,spike,stick,sting,strike,tap,thrust || -0.329679953964
pig out	stuff || 0.0
pile	arrange,crowd,crowd together,heap,jam,lay,mob,pack,place,pose,position,put,set,set up,stack,throng || 0.329679953964
pile up	accumulate,amass,backlog,catch,collect,compile,drift,fund,gather,hoard,run up || 0.0
pilfer	lift || -0.329679953964
pillage	despoil || -0.329679953964
pillow	rest || 0
pilot	balloon,soar || 0
pin	trap || -0.329679953964
pin down	narrow || 0.0
pinch	lift,squeeze,tail,top || -0.232935262696
pine	die,languish,yen || 0
pine away	languish,waste || 0.0
ping	knock || 0.0
pink	knock,tap || 0
pioneer	arrange,attempt,establish,found,initiate,introduce,mount,spark,stage,trigger || 0.909282046711
pip	beat,beat out,crush,flight,hit,injure,kill,mop up,rack up,shell,shoot,trounce,vanquish,whip,worst,wound || 0.698805788088
pipe down	quiet || 0.0
piss	make || 0
pit	mark,match,oppose || 0.0
pitch	ascend,cant,climb,deliver,dip,fall,incline,lag,lurch,shift,slope,toss || 0.0
placard	bill || 0
place	address,aim,approximate,arrange,assign,barrel,base,bottle,butt,come in,come out,commit,delegate,deposit,depute,designate,determine,direct,disdelegate,displace,disrace,downgrade,drop,estimate,evaluate,expend,fix,fund,gauge,grade,ground,guess,identify,introduce,invest,job,judge,lay,load,localise,localize,locate,lose,move,order,pass judgment,pile,point,poise,pose,position,post,present,put,range,rank,rate,replace,represent,rest,run,seat,send,set,settle,sign,sing,sit,site,situate,space,speculate,spend,stage,stand,station,step,stick,subordinate,take,take aim,target,tell,throw,thrust,train || 0.518798830058
place upright	stand || 0.0
plagiarise	lift || 0
plagiarize	lift || 0
plague	afflict,annoy,beset,blight,bother,chafe,chevvy,chevy,chivvy,chivy,devil,frustrate,get at,get to,gravel,harass,harry,hassle,irritate,molest,nark,nettle,provoke,rag,rile,smite,vex || 0
plain	beef,com kick,crab,kick,kvetch,quetch,report,sound off || -0.30309401557
plan	be after,cerebrate,chart,cogitate,compose,concert,contrive,create by mental act,create mentally,design,hope,intend,mean,project,propose,schedule,scheme,think || 0
plane	shave || 0.329679953964
plant	bury,establish,fix,found,name,pot,set,sink || 0.550671035883
plate	silver,tin || 0
play	act,act as,apply,assume,back,beat,behave,bet,bid,bring,call,catch,compete,complete,consider,contend,cover,create,dally,deal,debut,declare,deploy,develop,diddle,die,discharge,displace,do,employ,encounter,exhaust,exploit,face,feign,fiddle,flirt,follow,gamble,game,go,hit,locomote,look at,make,make for,manipulate,meet,move,perform,promote^,raise,re-create,recreate,register,repeat,represent,role playact,run,see,seesaw,sham,simulate,sound,spiel,sport,stake,start,support,swing,take,take on,toy,travel,trifle,tucker,tucker out,use,utilise,utilize,vie,wager,wash up,work,wreak || 0.368236675788
play a joke on	hoax || 0.0
play along	follow || 0.0
play false	snow || 0.0
play off	match,oppose || 0.0
play out	sap || 0.0
play up	highlight || 0.0
playperform	act || 0.0
plead	bid,press || -0.329679953964
pledge	assure,bind,charge,consign,donate,drink,give,guarantee,hold,honor,honour,obligate,oblige,plight,promise,reward,salute,subscribe,toast,wassail || 0.329679953964
plight	affiance,assure,betroth,engage,guarantee,pledge,promise,vow || 0
plod	pad || 0
plot	conspire,graph,scheme || 0
plough	plow,turn || 0
plow	address,broach,cover,deal,discuss,go,handle,initiate,locomote,move,plough,till,travel,treat,turn || 0.329679953964
pluck	pick,pull,rob,roll,soak,squeeze || 0.0
plug	punch,secure || 0.518798830058
plumb	adjust,burden,burthen,correct,explore,measure,quantify,set,weight,weight down || 0.550671035883
plume	rob,soak,squeeze || 0.550671035883
plummet	drop,plump || 0
plump	go,plummet || -0.550671035883
plump for	back,defend,endorse,guarantee,pull,side,support || 0.0
plunder	despoil || -0.232935262696
plunge	absorb,begin,center,centre,come down,commence,concentrate,dart,dash,descend,dip,dive,douse,drop,dump,dunk,engross,engulf,fall,flash,focus,get,get down,go down,immerse,jump,launch,nosedive,penetrate,perforate,plunk,pore,rivet,scoot,scud,set about,set out,shoot,soak,soak up,souse,start,start out,steep || 0.399051741003
plunk	dive,jump,nosedive,pick,plunge || -0.329679953964
plunk for	back,defend,endorse,guarantee,pull,side,support || 0.0
ply	board,cater,feed,give,help,meet,power,provide,run,serve,supply,sustain,treat || 0
pock	mark || -0.329679953964
poetise	verse || 0
poetize	verse || 0
point	address,aim,augur,be,bespeak,betoken,bushel,change form,change shape,channelise,channelize,charge,command,control,crab,deform,direct,doctor,fix,forecast,furbish up,guide,head,indicate,inform,label,level,lie,luff,maneuver,manoeuver,manoeuvre,mark,mend,orient,place,predict,reflect,rerepair,restore^,sail,sharpen,show,signal,steer,tag,take,take aim,taper,target,tell,touch on,train || 0.0
point out	comment,criticise*,criticize,knock,remark,represent || 0.0
poise	balance,bear,brace,carry,fix,gear up,hold,hover,lay,place,pose,position,prepare,put,ready,set,set up,steel || -0.232935262696
poke	dig,pound,pry || -0.329679953964
poke at	nudge || 0.0
poke fun	expose,guy,ridicule || 0.0
poke into	probe || 0.0
poke out	extend || 0.0
polish	burnish,down,round,train || 0
polish off	finish,hit,mop up,remove,slay || 0.0
polish up	round || 0.0
poll	acquire,canvas,canvass,clip,crop,cut back,dress,get,lop,pollard,prune,snip,survey,trim,vote || 0
pollard	poll || 0
pollute	infect || 0
pommel	pummel || 0
ponder	consider,contemplate,question,reflect,speculate,wonder || 0
pooh-pooh	scorn || -0.798103482005
pool	aggroup,group,share || 0
pop	appear,belt down,bolt down,break open,bug out,bulge,bulge out,burst,change form,change shape,collapse*,come out,crop up,deform,discharge,down,drink,drink down,fire,go,hit,imbibe,inject,kill,let go,let go of,pop out,pop up,pour down,protrude,release,relinquish,sound,split,start,throw,thrust,toss off || 0
pop off	die,fall,go,pass,starve,stifle,succumb,suffocate,yield || 0.0
pop out	pop,start || 0.0
pop the question	offer,propose || 0.0
pop up	pop || 0.0
populate	people || 0
pore	center,focus,hear,listen,plunge,recall,steep,think || 0
portend	augur,forecast,predict,threaten* || -0.329679953964
portion	administer,allocate,allot,allow,assign,deal,deal out,dish out,dispense,distribute,dole out,earmark,lot,mete out,parcel out,reserve,shell out || 0
portion out	deal,share || 0.0
portray	present || -0.232935262696
pose	acquit,amaze,arrange,baffle,barrel,be,bear,beat,bedevil,befuddle,behave,betray,bewilder,bottle,butt,carry,comport,comprise,conduct,confound,confuse,constitute,deceive,deport,deposit,discombobulate,displace,display,dumbfound,ex exhibit,fix,flummox,fox,fuddle,get,gravel,ground,impersonate,introduce,lay,lead astray,load,lose,make up,model,move,mystify,nonplus,perplex,personate,pile,place,poise,position,posture,present,put,puzzle,replace,represent,rest,riddle,seat,set,settle,sign,sit,space,stand,step,stick,stupefy,throw,thrust,vex || 0.239809449005
posit	assert,bury,deposit,fix,insist,state,submit || -0.550671035883
position	arrange,barrel,bottle,butt,deposit,displace,fix,ground,introduce,lay,load,lose,move,pile,place,poise,pose,put,replace,rest,seat,set,settle,sign,sit,space,square,stand,step,stick,take,throw,thrust,train || 0.232935262696
possess	exhibit,have,own || 0.0
post	affix,announce,assign,base,bill,brand,call,carry,delegate,denote,depute,designate,displace,enter,instal,install,list,mail,mark,move,place,put down,put in,put up,record,register,ride horseback,send,set up,stake,station,stick on,transfer || 0.399051741003
postdate	follow || 0
postpone	call,defer,delay,hold,hold over,prorogue,put off,put over,remit,reprieve,set back,shelve,suspend,table || 0
postulate	ask,assert,claim,cost,demand,draw,imply,insist,involve,need,take || 0.232935262696
posture	pose,sit || 0.550671035883
pot	embed,engraft,imbed,implant,plant || 0
pouch	bulk || -0.329679953964
pound	beat,break up,confine,flutter,fragment,fragmentise,fragmentize,hit,hold,im restrain,lumber,move,partition,partition off,poke,pound off,pound up,pulse,ram,ram down,restrain,thrust,thump,walk || -0.134169991054
pound off	pound || 0.0
pound up	pound || 0.0
pour	course,crowd,crowd together,decant,displace,drop,feed,flow,furnish,move,pelt,pour out,provide,pullulate,rain,rain buckets,rain cats and dogs,rain down,render,run,shed,sheet,spout,spurt,stream,supply,swarm,teem || 0
pour down	pop || 0.0
pour forth	shed || 0.0
pour out	pour || 0.0
pout	mop || -0.329679953964
power	cater,drive,ply,provide,supply || 0
practice	apply,do,drill,execute,exercise,follow,learn,perform,practise,read,rehearse,study,take,use || -0.329679953964
practice bundling	bundle || 0.0
practise	do,practice || 0
praise	advertise,promote^,push,recommend || 0
prance	swagger || 0.698805788088
pray	insist || 0
pre rule	dominate || 0.0
preach	advocate || 0
precede	forgo,head,introduce,lead,premise || -0.329679953964
precipitate	cast,change state,come down,descend,effect,effectuate,fall,go down,hurl,hurtle,set up,snow,turn || 0.232935262696
preclude	avert^,avoid,block,cross,forbid,frustrate,halt,prevent,save,stop,thwart || 0.0
predate	forgo || 0.329679953964
predetermine	bias,weight || 0
predict	anticipate,augur,auspicate,bespeak,bet,betoken,bode,calculate,call,forebode,forecast,foreshadow,foretell,guess,hazard,indicate,omen,point,portend,prefigure,presage,pretend,prognosticate,promise,read,signal,threaten*,venture,wager || -0.329679953964
predominate	loom,outweigh,prevail,reign,rule || 0
preempt	displace || 0
preface	introduce,premise || -0.329679953964
prefer	advance,advantage^,choose,elevate,favor,favour,kick upstairs,like,opt,pay,promote^,raise,upgrade || 0
prefigure	augur,forecast,predict,threaten* || -0.550671035883
prehend	arrest,catch,claw,get,grab,grip,nab,snap || -0.329679953964
prejudice	bias || 0
premise	exposit,expound,introduce,precede,preface,premiss,presuppose,say,set forth,state,suppose,tell || -0.329679953964
premiss	premise || 0
preoccupy	haunt || -0.329679953964
prepare	brace,concoct,crop,develop,fix,keep,make,mount,poise,preserve,provide,ready,sandwich,set,train,work || 0.60618803114
preponderate	outweigh || 0
prepossess	bias || -0.232935262696
presage	augur,forecast,predict,threaten* || -0.329679953964
prescribe	dictate,order || 0
present	acquaint,allocate,apportion,argue,award,be,cede,comprise,confront,constitute,deliver,demo,demonstrate,donate,exhibit,face,fee,gift,give,grant,greet,indicate,inform,introduce,leave,mouth,place,portray,pose,re interpret,re lay out,re make up,reason,recognise,recognize,represent,rere-create,salute,say,set,show,speak,spin,stage,state,submit,surrender,talk,tell,tender,tip,treat,utter,verbalise,verbalize,will || 0
preserve	bear on,can,carry on,conserve,continue,cook,enter,fix,hold,hold on,husband,keep,keep up,maintain,make,persist,prepare,protect,ready,record,resume,save,sustain,tin,uphold || 0.134169991054
press	adjure,advertise,advertize,advise,advocate,agitate,be,beseech,bid,campaign,cast,com constrict,compact,conjure,contract,counsel,count,create,crunch,crusade,entreat,exercise,exhort,fight,flatten,flatten out,force,grind,iron,iron out,make,mass,matter,mold,mould,plead,press out,promote^,push,rede,rush,squeeze,tighten,touch,urge,urge on,weigh,weight-lift,weightlift,work out || -0.239809449005
press down	depress || 0.0
press out	press || 0.0
pressure	act upon,blackjack,blackmail,coerce,compel,drive,force,hale,influence,obligate,oblige,squeeze,work || 0.0
presume	assume || 0.232935262696
presuppose	premise || 0
pretend	act,affect,anticipate,assume,bull,call,fake,guess,make,predict,promise,suspect,venture || 0
pretermit	drop,forget,jump,miss,neglect,overlook,skip || 0
prettify	become,suit || 0.329679953964
prevail	be,continue,die hard,dominate,endure,exist,hold,obtain,outweigh,persist,persuade,predominate,reign,rule,run,triumph,win || -0.698805788088
prevent	avert^,avoid,block,cross,defend,forbid,foreclose,forestall,frustrate,halt,hold,keep,preclude,restrain,save,stop,thwart || 0.232935262696
previse	anticipate,foresee || 0.329679953964
prey	feed || 0.329679953964
prgive	offer || 0.0
price	ascertain,determine,manipulate,set || 0
prick	bite,sting || -0.239809449005
prime	ground || 0.550671035883
print	create,impress,make,offset,produce,prove,publish,reproduce,write || -0.329679953964
prise	admire,fear,prize,pry,respect,value || 0.329679953964
privilege	favor || 0
prize	admire,appreciate,consider,esteem,fear,jimmy,lever,open,open up,prise,pry,reckon,recognize,regard,respect,see,treasure,value,view || 0
probe	dig into,examine,hear,investigate,look into,penetrate,perforate,poke into,try || 0
proceed	act,carry on,come,come about,continue,do,drag,embark,fall out,fare,go,go along,go forward,go on,hap,happen,head,hold,keep,limp,locomote,move,occur,pass,pass off,ride,speak,take place,talk,travel,venture,work || 0.60618803114
process	action,affect,bear on,bear upon,calculate,care,challenge,cipher,compute,cypher,deal,deliver,digest,figure,file,handle,impact,litigate,manage,march,reckon,run,serve,sue,swear out,tank,touch,touch on,transform,transmute,transubstantiate,treat,walk,work,work on,work out || 0.399051741003
proclaim	declare || 0
procrastinate	stall || -0.329679953964
procreate	cover,set || 0.329679953964
procure	secure || 0.329679953964
prod	dig,nudge || 0
produce	acquire,bear,bring about,bring forth,bring on,bring out,carry,change,create,cultivate,cut,deliver,develop,display,exhibit,expose,farm,generate,get,give,give rise,grow,have,induce,keep,lead,leave,machine,make,offer,output,print,publish,pulse,raise,result,return,stock,yield || 0.60618803114
profane	debase,infect || 0.232935262696
proffer	give,tender || 0.0
profile	compose,indite,interpret,pen,represent,write || 0
profit	acquire,benefit^,bring in,capitalize,clear,earn,gain,get,make,net,pull in,realise,realize,take in,turn a gain || 0
prognosticate	anticipate,augur,bet,calculate,call,forecast,predict,promise,read,threaten*,wager || -0.329679953964
program	create by mental act,create mentally,programme,schedule || 0
programme	program || 0
progress	advance,build,build up,climb,come along,come on,develop,edge,forge,get along,get on,go,go on,inch,locomote,march on,move,move on,overtake,pass,pass on,shape up,string,travel,work up || 0.959237796022
progress to	make,reach || 0.0
prohibit	ban,forbid || -0.329679953964
project	ascribe,assign,attribute,cast,cause to be perceived,channel,channelise,channelize,communicate,conceive of,concert,contrive,create by mental act,create mentally,design,direct,draw,envisage,envision,externalise,externalize,fancy,figure,ideate,image,imagine,impel,impute,intercommunicate,introduce,jut,jut out,offer,picture,plan,propel,propose,protrude,see,send,send off,shoot,show,stick out,throw,thrust,transfer,transmit,transport,visualise,visualize || 0.698805788088
prolong	continue,extend,keep,protract,retain,spin,sustain || 0.798103482005
promise	anticipate,assure,augur,be,bet,calculate,call,contract,declare,forebode,forecast,foretell,guarantee,guess,hazard,pledge,plight,predict,pretend,prognosticate,read,venture,wager || 0.329679953964
promote^	advance,advertise,advertize,assign,back up,bill,boost,campaign,carry,change,contribute,delegate,depute,designate,elevate,encourage,favor,feed,fight,foster,further,help,kick upstairs,lead,play,praise,prefer,press,push,raise,spur,support,upgrade || 0.0
prompt	actuate,cause,cue,do,get,have,incite,induce,inform,inspire^,instigate,make,motivate,move,propel,remind,stimulate || 0.841485983952
promulgate	declare || 0
